"CRN","Subject","Course","Section","Campus","Credits","Title","Days","Time","Cap","Act","Rem","WL Cap","WL Act","WL Rem","Instructor","Dates","Location","Attributes"
"40536","MATH",="0900",="01","A01","4","Transitional Math I","MTWR","9:00 am-9:50 am","40","27","13","10","0","10","Jameson C Hardy (P)","08/19-12/10","SNOW 144",""
"40874","MATH",="0900",="02","A01","4","Transitional Math I","TR","1:00 pm-2:40 pm","40","12","28","10","0","10","TBA","08/19-12/10","SNOW 144",""
"42513","MATH",="0900",="03","A01","4","Transitional Math I","MTWR","10:00 am-10:50 am","40","13","27","10","0","10","Neil James Duncan (P)","08/19-12/10","SNOW 003",""
"41941","MATH",="0900",="04","A01","4","Transitional Math I","MW","4:30 pm-6:10 pm","40","8","32","10","0","10","Scott Patrick Hicks (P)","08/19-12/10","SNOW 003",""
"42767","MATH",="0900",="05","A01","4","Transitional Math I","MW","1:00 pm-2:40 pm","20","20","0","5","1","4","Paula Manuele Temple (P)","08/19-12/10","SNOW 003",""
"43638","MATH",="0900",="06","A01","4","Transitional Math I","MTWR","11:00 am-11:50 am","40","9","31","10","0","10","Craig D Seegmiller (P)","08/19-12/10","SNOW 144",""
"42228","MATH",="0900",="40","O01","4","Transitional Math I","","TBA","35","19","16","10","0","10","Paula Manuele Temple (P)","08/19-12/10","ONLINE",""
"42015","MATH",="0900",="41","O01","4","Transitional Math I","","TBA","35","11","24","10","0","10","Scott Patrick Hicks (P)","08/19-12/10","ONLINE",""
"43300","MATH",="0900",="50","A01","4","Transitional Math I","MW","6:00 pm-7:40 pm","40","2","38","10","0","10","Matthew S Smith (P)","08/19-12/10","SNOW 144",""
"40951","MATH",="0980",="02","A01","4","Transitional Math IIB","MTWR","10:00 am-10:50 am","40","32","8","10","0","10","Buna Sambandham (P)","08/19-12/10","SNOW 144",""
"41041","MATH",="0980",="04","A01","4","Transitional Math IIB","MTWR","12:00 pm-12:50 pm","40","20","20","10","0","10","Paula Manuele Temple (P)","08/19-12/10","SNOW 144",""
"41042","MATH",="0980",="05","A01","4","Transitional Math IIB","TR","1:00 pm-2:40 pm","40","16","24","10","0","10","Paula Manuele Temple (P)","08/19-12/10","SNOW 003","SI"
"41042","MATH",="0980",="05","A01","4","Transitional Math IIB","W","1:30 pm-2:20 pm","40","16","24","10","0","10","Paula Manuele Temple (P)","08/19-12/10","SNOW 147","SI"
"41043","MATH",="0980",="06","A01","4","Transitional Math IIB","MW","1:00 pm-2:40 pm","35","21","14","5","0","5","Kathie E Ott (P)","08/19-12/10","SNOW 144",""
"41939","MATH",="0980",="07","A01","4","Transitional Math IIB","TR","3:00 pm-4:40 pm","40","22","18","10","0","10","Odean Bowler (P)","08/19-12/10","SNOW 144",""
"41940","MATH",="0980",="08","A01","4","Transitional Math IIB","MW","3:00 pm-4:40 pm","40","19","21","10","0","10","Kathie E Ott (P)","08/19-12/10","SNOW 144",""
"42750","MATH",="0980",="09","A01","4","Transitional Math IIB","TR","4:30 pm-6:10 pm","40","2","38","10","0","10","Michael N Paxman (P)","08/19-12/10","SNOW 003",""
"43006","MATH",="0980",="10","A01","4","Transitional Math IIB","MTWR","8:00 am-8:50 am","40","7","33","10","0","10","John R Weber (P)","08/19-12/10","SNOW 144",""
"40953","MATH",="0980",="40","O01","4","Transitional Math IIB","","TBA","35","11","24","10","0","10","Buna Sambandham (P)","08/19-12/10","ONLINE",""
"41785","MATH",="0980",="41","O01","4","Transitional Math IIB","","TBA","40","18","22","10","0","10","Elizabeth Karen Ludlow (P)","08/19-12/10","ONLINE",""
"41153","MATH",="1010",="01","A01","4","Intermediate Algebra","MW","1:00 pm-2:40 pm","35","19","16","5","0","5","Neil James Duncan (P)","08/19-12/10","SNOW 151",""
"42621","MATH",="1010",="02","A01","4","Intermediate Algebra","MTWR","11:00 am-11:50 am","40","14","26","10","0","10","Adina Ionita (P)","08/19-12/10","SNOW 003",""
"41154","MATH",="1010",="03","A01","4","Intermediate Algebra","MTWR","12:00 pm-12:50 pm","40","12","28","10","0","10","Adina Ionita (P)","08/19-12/10","SNOW 003",""
"41155","MATH",="1010",="04","A01","4","Intermediate Algebra","MW","3:00 pm-4:40 pm","40","8","32","10","0","10","Odean Bowler (P)","08/19-12/10","SNOW 124",""
"42724","MATH",="1010",="06","A01","4","Intermediate Algebra","MTWR","10:00 am-10:50 am","40","9","31","10","0","10","Elizabeth Karen Ludlow (P)","08/19-12/10","SNOW 151",""
"43639","MATH",="1010",="07","A01","4","Intermediate Algebra","TR","1:00 pm-2:40 pm","40","13","27","10","0","10","Shelly Lashell Kidd-Thomas (P)","08/19-12/10","SNOW 147",""
"42141","MATH",="1010",="08","A01","4","Intermediate Algebra","TR","3:00 pm-4:40 pm","40","4","36","10","0","10","Shelly Lashell Kidd-Thomas (P)","08/19-12/10","SNOW 147",""
"41552","MATH",="1010",="40","O01","4","Intermediate Algebra","","TBA","39","13","26","10","0","10","Neil James Duncan (P)","08/19-12/10","ONLINE",""
"42229","MATH",="1010",="41","O01","4","Intermediate Algebra","","TBA","40","6","34","10","0","10","Elizabeth Karen Ludlow (P)","08/19-12/10","ONLINE",""
"40537","MATH",="1030",="01","A01","3","Quantitative Reasoning","TR","7:30 am-8:45 am","40","8","32","10","0","10","Craig D Seegmiller (P)","08/19-12/10","SNOW 150","MA"
"40590","MATH",="1030",="02","A01","3","Quantitative Reasoning","MWF","9:00 am-9:50 am","40","2","38","10","0","10","Amanda Fa'onelua (P)","08/19-12/10","SNOW 145","MA"
"40757","MATH",="1030",="03","A01","3","Quantitative Reasoning","MWF","10:00 am-10:50 am","40","8","32","10","0","10","Amanda Fa'onelua (P)","08/19-12/10","SNOW 145","MA"
"40943","MATH",="1030",="04","A01","3","Quantitative Reasoning","TR","9:00 am-10:15 am","40","20","20","10","0","10","Craig D Seegmiller (P)","08/19-12/10","SNOW 150","MA"
"42230","MATH",="1030",="05","A01","3","Quantitative Reasoning","TR","12:00 pm-1:15 pm","40","29","11","10","0","10","Jeff P Harrah (P)","08/19-12/10","SNOW 150","MA"
"42231","MATH",="1030",="06","A01","3","Quantitative Reasoning","TR","1:30 pm-2:45 pm","40","18","22","10","0","10","Jeff P Harrah (P)","08/19-12/10","SNOW 150","MA"
"40875","MATH",="1030",="40","O01","3","Quantitative Reasoning","","TBA","35","34","1","10","4","6","Md Sazib Hasan (P)","08/19-12/10","ONLINE","MA"
"41167","MATH",="1040",="01","A01","3","Introduction to Statistics","MWF","8:00 am-8:50 am","40","4","36","10","0","10","James P Fitzgerald (P)","08/19-12/10","SNOW 124","MA"
"41239","MATH",="1040",="02","A01","3","Introduction to Statistics","MWF","9:00 am-9:50 am","39","10","29","10","0","10","James P Fitzgerald (P)","08/19-12/10","SNOW 124","MA"
"40758","MATH",="1040",="03","A01","3","Introduction to Statistics","MWF","10:00 am-10:50 am","40","4","36","10","0","10","James P Fitzgerald (P)","08/19-12/10","SNOW 124","MA"
"40717","MATH",="1040",="04","A01","3","Introduction to Statistics","TR","10:30 am-11:45 am","40","26","14","10","0","10","Trevor K Johnson (P)","08/19-12/10","SNOW 124","MA"
"43785","MATH",="1040",="05","A01","3","Introduction to Statistics","MWF","11:00 am-11:50 am","40","15","25","10","0","10","Neil James Duncan (P)","08/19-12/10","SNOW 124","MA"
"41023","MATH",="1040",="06","A01","3","Introduction to Statistics","MW","12:00 pm-1:15 pm","40","8","32","10","0","10","Jameson C Hardy (P)","08/19-12/10","SNOW 124","MA, SI"
"41023","MATH",="1040",="06","A01","3","Introduction to Statistics","T","12:00 pm-12:50 pm","40","8","32","10","0","10","Jameson C Hardy (P)","08/19-12/10","SNOW 125","MA, SI"
"41393","MATH",="1040",="07","A01","3","Introduction to Statistics","MW","1:30 pm-2:45 pm","40","19","21","10","0","10","Jameson C Hardy (P)","08/19-12/10","SNOW 124","MA"
"41194","MATH",="1040",="08","A01","3","Introduction to Statistics","TR","1:30 pm-2:45 pm","40","15","25","10","0","10","Trevor K Johnson (P)","08/19-12/10","SNOW 124","MA"
"42017","MATH",="1040",="14","A01","3","Introduction to Statistics","TR","12:00 pm-1:15 pm","40","28","12","10","0","10","Jameson C Hardy (P)","08/19-12/10","SNOW 124","MA"
"42018","MATH",="1040",="15","A01","3","Introduction to Statistics","TR","4:30 pm-5:45 pm","40","4","36","10","0","10","Robert T Reimer (P)","08/19-12/10","SNOW 112","MA"
"40279","MATH",="1040",="16","A01","3","Introduction to Statistics","MW","4:30 pm-5:45 pm","40","5","35","20","0","20","Ryan C McConnell (P)","08/19-12/10","SNOW 112","MA"
"43640","MATH",="1040",="17","A01","3","Introduction to Statistics","TR","9:00 am-10:15 am","40","2","38","10","0","10","John R Weber (P)","08/19-12/10","SNOW 124","MA"
"40759","MATH",="1040",="40","O01","3","Introduction to Statistics","","TBA","35","35","0","10","0","10","Jie Liu (P)","08/19-12/10","ONLINE","MA"
"42725","MATH",="1040",="41","O01","3","Introduction to Statistics","","TBA","40","27","13","10","0","10","Jie Liu (P)","08/19-12/10","ONLINE","MA"
"41297","MATH",="1050",="01","A01","4","College Algebra / Pre-Calculus","MTWR","8:00 am-8:50 am","40","3","37","10","0","10","Adina Ionita (P)","08/19-12/10","SNOW 003","MA"
"40287","MATH",="1050",="02","A01","4","College Algebra / Pre-Calculus","MTWR","9:00 am-9:50 am","40","12","28","10","0","10","Adina Ionita (P)","08/19-12/10","SNOW 003","MA"
"41238","MATH",="1050",="03","A01","4","College Algebra / Pre-Calculus","MTWR","11:00 am-11:50 am","40","15","25","10","0","10","Elizabeth Karen Ludlow (P)","08/19-12/10","SNOW 151","MA"
"40288","MATH",="1050",="04","A01","4","College Algebra / Pre-Calculus","MTWR","10:00 am-10:50 am","40","9","31","10","0","10","Clare C Banks (P)","08/19-12/10","SNOW 147","MA"
"43479","MATH",="1050",="05","A01","4","College Algebra / Pre-Calculus","MTWR","12:00 pm-12:50 pm","40","5","35","10","0","10","Md Sazib Hasan (P)","08/19-12/10","SNOW 145","MA"
"43480","MATH",="1050",="06","A01","4","College Algebra / Pre-Calculus","MW","1:00 pm-2:40 pm","40","12","28","10","0","10","Kevin Gregory Johnston (P)","08/19-12/10","SNOW 145","MA"
"43641","MATH",="1050",="07","A01","4","College Algebra / Pre-Calculus","MW","3:00 pm-4:40 pm","40","6","34","10","0","10","Kevin Gregory Johnston (P)","08/19-12/10","SNOW 145","MA"
"40289","MATH",="1050",="40","O01","4","College Algebra / Pre-Calculus","","TBA","40","18","22","10","0","10","Clare C Banks (P)","08/19-12/10","ONLINE","MA"
"40002","MATH",="1060",="03","A01","3","Trigonometry","MW","1:30 pm-2:45 pm","40","18","22","10","0","10","McKay Sullivan (P)","08/19-12/10","SNOW 125","MA"
"41298","MATH",="1060",="04","A01","3","Trigonometry","MW","4:30 pm-5:45 pm","40","7","33","10","0","10","Matthew S Smith (P)","08/19-12/10","SNOW 147","MA"
"42755","MATH",="1060",="05","A01","3","Trigonometry","TR","1:30 pm-2:45 pm","40","18","22","10","0","10","Jameson C Hardy (P)","08/19-12/10","SNOW 145","MA"
"42137","MATH",="1060",="40","O01","3","Trigonometry","","TBA","40","19","21","10","0","10","Costel Ionita (P)","08/19-12/10","ONLINE","MA"
"40591","MATH",="1080",="01","A01","5","Pre-Calculus with Trigonometry","MTWRF","8:00 am-8:50 am","40","1","39","10","0","10","TBA","08/19-12/10","SNOW 125","MA"
"41786","MATH",="1100",="40","O01","3","Business Calculus","","TBA","40","9","31","10","0","10","Trevor K Johnson (P)","08/19-12/10","ONLINE","MA"
"40003","MATH",="1210",="01","A01","4","Calculus I","MTWR","11:00 am-11:50 am","20","37","-17","0","0","0","Costel Ionita (P)","08/19-12/10","SNOW 125","MA"
"40876","MATH",="1210",="02","A01","4","Calculus I","MTWR","9:00 am-9:50 am","40","16","24","10","0","10","Buna Sambandham (P)","08/19-12/10","SNOW 112","MA"
"40202","MATH",="1210",="03","A01","4","Calculus I","TR","1:00 pm-2:40 pm","40","11","29","10","0","10","Jie Liu (P)","08/19-12/10","SNOW 151","MA"
"42232","MATH",="1210",="04","A01","4","Calculus I","MTWR","10:00 am-10:50 am","38","19","19","10","0","10","McKay Sullivan (P)","08/19-12/10","SNOW 112","MA"
"40004","MATH",="1220",="01","A01","4","Calculus II","MTWR","8:00 am-8:50 am","39","12","27","10","0","10","Clare C Banks (P)","08/19-12/10","SNOW 147","MA"
"41071","MATH",="1220",="02","A01","4","Calculus II","MTWR","9:00 am-9:50 am","40","24","16","10","0","10","Costel Ionita (P)","08/19-12/10","SNOW 125","MA"
"40944","MATH",="2010",="01","A01","3","Math for Elementary Teachers I","TR","10:30 am-11:45 am","40","20","20","10","0","10","Jeff P Harrah (P)","08/19-12/10","SNOW 150",""
"40005","MATH",="2010",="02","A01","3","Math for Elementary Teachers I","T","4:30 pm-7:00 pm","40","13","27","10","0","10","Jeff P Harrah (P)","08/19-12/10","SNOW 150",""
"40006","MATH",="2020",="01","A01","3","Math for Elemen Teachers II","W","4:30 pm-7:00 pm","40","13","27","10","0","10","Jeff P Harrah (P)","08/19-12/10","SNOW 150",""
"41908","MATH",="2050",="01","A01","3","Applied Statistics","TR","10:30 am-11:45 am","40","21","19","10","0","10","Md Sazib Hasan (P)","08/19-12/10","SNOW 145",""
"40524","MATH",="2210",="01","A01","4","Multivariable Calculus","MTWR","8:00 am-8:50 am","40","40","0","10","0","10","McKay Sullivan (P)","08/19-12/10","SNOW 112","MA"
"40007","MATH",="2270",="01","A01","3","Linear Algebra","MW","12:00 pm-1:15 pm","40","12","28","10","0","10","Costel Ionita (P)","08/19-12/10","SNOW 125",""
"43481","MATH",="3010",="40","O01","3","Algebra Sec Math Teaching","","TBA","40","2","38","10","0","10","Clare C Banks (P)","08/19-12/10","ONLINE",""
"41787","MATH",="3120",="01","A01","3","Transition to Advanced Math","MWF","11:00 am-11:50 am","40","6","34","10","0","10","Kevin Gregory Johnston (P)","08/19-12/10","SNOW 147",""
"41072","MATH",="3400",="01","A01","3","Probability & Statistics","TR","9:00 am-10:15 am","40","21","19","10","0","10","Jie Liu (P)","08/19-12/10","SNOW 145",""
"41073","MATH",="3410",="01","A01","1","Actuarial Exam P/1","W","12:00 pm-12:50 pm","40","2","38","10","0","10","Jie Liu (P)","08/19-12/10","SNOW 151",""
"41171","MATH",="3500",="01","A01","3","Numerical Analysis","MW","12:00 pm-1:15 pm","40","5","35","10","0","10","Buna Sambandham (P)","08/19-12/10","SNOW 147",""
"43482","MATH",="3700",="01","A01","3","Mathematical Modeling","MW","4:30 pm-5:45 pm","40","9","31","10","0","10","Vinodh Kumar Chellamuthu (P)","08/19-12/10","SNOW 125",""
"41788","MATH",="4000",="01","A01","3","Foundations of Algebra","TR","1:30 pm-2:45 pm","40","6","34","10","0","10","McKay Sullivan (P)","08/19-12/10","SNOW 125",""
"42140","MATH",="4500",="01","A01","3","Methods Teach Secondary Math","R","4:30 pm-7:00 pm","40","1","39","10","0","10","Jeff P Harrah (P)","08/19-12/10","SNOW 150",""
"40824","MATH",="4890R",="01","A01","3","Independent Research","","TBA","40","1","39","0","0","0","Vinodh Kumar Chellamuthu (P)","08/19-12/10","",""
"41918","MATH",="4890R",="02","A01","3","Independent Research","","TBA","40","0","40","0","0","0","TBA","08/19-12/10","",""
"41985","MATH",="4890R",="03","A01","3","Independent Research","","TBA","40","0","40","0","0","0","TBA","08/19-12/10","",""
"41933","MATH",="4900",="02","A01","3","Senior Capstone Seminar","","TBA","40","2","38","0","0","0","TBA","08/19-12/10","","ALUR"
"41963","MATH",="4900",="03","A01","3","Senior Capstone Seminar","","TBA","40","0","40","0","0","0","TBA","08/19-12/10","","ALUR"
"41990","MATH",="4900",="04","A01","3","Senior Capstone Seminar","","TBA","40","0","40","0","0","0","TBA","08/19-12/10","","ALUR"